GameID,SetID,Player1Game,Player2Game
G001,S001,0,1
G002,S001,1,1
G003,S001,1,2
G004,S001,2,2
G005,S001,2,3
G006,S001,2,4
G007,S002,1,0
G008,S002,2,0
G009,S002,3,0
G010,S003,0,1
G011,S003,1,1
G012,S003,1,2
G013,S003,1,3
G014,S004,1,0
G015,S004,1,1
G016,S004,1,2
G017,S004,2,2
G018,S004,3,2
G019,S004,4,2
G020,S005,1,0
G021,S005,2,0
G022,S005,3,0
G023,S006,1,0
G024,S006,2,0
G025,S006,3,0
G026,S007,1,0
G027,S007,2,0
G028,S007,2,1
G029,S007,2,2
G030,S007,2,3
G031,S007,2,4
G032,S008,1,0
G033,S008,1,1
G034,S008,2,1
G035,S008,2,2
G036,S008,3,2
G037,S008,4,2
G038,S009,1,0
G039,S009,1,1
G040,S009,1,2
G041,S009,2,2
G042,S009,2,3
G043,S009,2,4
G044,S010,1,0
G045,S010,1,1
G046,S010,2,1
G047,S010,3,1
G048,S011,0,1
G049,S011,0,2
G050,S011,1,2
G051,S011,1,3
G052,S012,0,1
G053,S012,1,1
G054,S012,2,1
G055,S012,3,1
G056,S013,0,1
G057,S013,0,2
G058,S013,0,3
G059,S014,1,0
G060,S014,1,1
G061,S014,1,2
G062,S014,2,2
G063,S014,3,2
G064,S014,3,3
G065,S014,4,3
G066,S015,1,0
G067,S015,2,0
G068,S015,2,1
G069,S015,3,1
G070,S016,0,1
G071,S016,0,2
G072,S016,0,3
G073,S017,0,1
G074,S017,0,2
G075,S017,0,3
